"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"1194","Semideciduous",49,15,7
"1195","Semideciduous",10,22,41
"1196","Semideciduous",18,32,3
"1197","Semideciduous",14,24,6
"1198","Semideciduous",7,18,3
"1199","Semideciduous",4,26,42
"1200","Semideciduous",16,33,44
"1201","Semideciduous",6,23,43
"1202","Semideciduous",13,54,44
"1203","Semideciduous",1,37,34
"1204","Semideciduous",20,64,21
"1205","Semideciduous",5,17,40
"1206","Semideciduous",18,25,5
"1207","Semideciduous",6,20,7
"1208","Semideciduous",13,24,44
"1209","Semideciduous",21,41,15
"1210","Semideciduous",14,22,44
"1211","Semideciduous",13,15,3
"1212","Semideciduous",11,30,4
"1213","Semideciduous",3,54,44
"1214","Semideciduous",56,31,44
"1215","Semideciduous",29,28,41
"1216","Semideciduous",22,57,28
"1217","Semideciduous",4,26,5
"1218","Semideciduous",21,24,3
"1219","Semideciduous",7,20,43
"1220","Semideciduous",17,56,44
"1221","Semideciduous",7,33,4
"1222","Semideciduous",31,55,11
"1223","Semideciduous",26,33,10
"1224","Semideciduous",25,24,8
"1225","Semideciduous",15,26,5
"1226","Semideciduous",22,29,3
"1227","Semideciduous",46,33,9
"1228","Semideciduous",38,67,12
"1229","Semideciduous",14,23,3
"1230","Semideciduous",5,29,5
"1231","Semideciduous",6,24,5
"1232","Semideciduous",3,19,41
"1233","Semideciduous",30,57,11
"1234","Semideciduous",26,39,40
"1235","Semideciduous",3,20,7
"1236","Semideciduous",25,37,4
"1237","Semideciduous",20,29,5
"1238","Semideciduous",24,36,7
"1239","Semideciduous",25,22,8
"1240","Semideciduous",21,29,43
"1241","Semideciduous",30,33,7
"1242","Semideciduous",4,43,43
"1243","Semideciduous",25,32,4
"1244","Semideciduous",25,29,3
"1245","Semideciduous",9,62,44
"1246","Semideciduous",1,31,44
"1247","Semideciduous",25,33,4
"1248","Semideciduous",7,25,5
"1249","Semideciduous",28,17,5
"1250","Semideciduous",18,25,5
"1251","Semideciduous",3,23,7
"1252","Semideciduous",1,15,3
"1253","Semideciduous",33,31,10
"1254","Semideciduous",30,62,11
"1255","Semideciduous",6,23,41
"1256","Semideciduous",18,24,14
"1257","Semideciduous",24,57,17
"1258","Semideciduous",3,42,43
"1259","Semideciduous",20,45,7
"1260","Semideciduous",19,33,3
"1261","Semideciduous",2,17,4
"1262","Semideciduous",26,14,4
"1263","Semideciduous",21,31,43
"1264","Semideciduous",32,20,4
"1265","Semideciduous",20,28,44
"1266","Semideciduous",14,59,18
"1267","Semideciduous",11,43,10
"1268","Semideciduous",28,23,4
"1269","Semideciduous",9,29,44
"1270","Semideciduous",21,31,44
"1271","Semideciduous",79,36,9
"1272","Semideciduous",4,26,3
"1273","Semideciduous",25,51,11
"1274","Semideciduous",6,44,9
"1275","Semideciduous",31,79,30
"1276","Semideciduous",21,26,42
"1277","Semideciduous",67,21,4
"1278","Semideciduous",3,28,6
"1279","Semideciduous",35,76,18
"1280","Semideciduous",7,28,6
"1281","Semideciduous",74,20,4
"1282","Semideciduous",25,52,16
"1283","Semideciduous",16,28,4
"1284","Semideciduous",9,28,43
"1285","Semideciduous",3,36,5
"1286","Semideciduous",25,45,4
"1287","Semideciduous",38,42,10
"1288","Semideciduous",79,17,43
"1289","Semideciduous",3,34,6
"1290","Semideciduous",11,37,9
"1291","Semideciduous",2,24,42
"1292","Semideciduous",11,31,4
"1293","Semideciduous",2,26,7
"1294","Semideciduous",13,47,44
"1295","Semideciduous",33,32,7
"1296","Semideciduous",1,24,5
"1297","Semideciduous",4,28,7
"1298","Semideciduous",79,18,43
"1299","Semideciduous",1,34,3
"1300","Semideciduous",14,36,5
"1301","Semideciduous",10,51,7
"1302","Semideciduous",6,22,44
"1303","Semideciduous",28,62,15
"1304","Semideciduous",3,31,44
"1305","Semideciduous",3,21,44
"1306","Semideciduous",25,47,5
"1307","Semideciduous",79,22,4
"1308","Semideciduous",21,54,11
"1309","Semideciduous",7,31,4
"1310","Semideciduous",29,39,8
"1311","Semideciduous",32,43,7
"1312","Semideciduous",7,40,6
"1313","Semideciduous",16,55,8
"1314","Semideciduous",67,23,4
"1315","Semideciduous",1,20,3
"1316","Semideciduous",31,55,19
"1317","Semideciduous",4,24,44
"1318","Semideciduous",1,15,3
"1319","Semideciduous",10,34,6
"1320","Semideciduous",24,26,44
"1321","Semideciduous",35,47,15
"1322","Semideciduous",17,45,4
"1323","Semideciduous",32,42,5
"1324","Semideciduous",16,37,6
"1325","Semideciduous",56,15,3
"1326","Semideciduous",29,41,10
"1327","Semideciduous",25,57,11
"1328","Semideciduous",74,23,42
"1329","Semideciduous",14,36,42
"1330","Semideciduous",4,23,43
"1331","Semideciduous",38,36,12
"1332","Semideciduous",74,18,5
"1333","Semideciduous",17,42,7
"1334","Semideciduous",2,21,5
"1335","Semideciduous",35,45,7
"1336","Semideciduous",15,30,3
"1337","Semideciduous",13,34,8
"1338","Semideciduous",33,64,19
"1339","Semideciduous",37,52,8
"1340","Semideciduous",14,59,27
"1341","Semideciduous",36,29,43
"1342","Semideciduous",2,40,5
"1343","Semideciduous",32,67,14
"1344","Semideciduous",15,39,3
"1345","Semideciduous",14,34,11
"1346","Semideciduous",26,52,10
"1347","Semideciduous",11,30,42
"1348","Semideciduous",6,30,42
"1349","Semideciduous",15,45,8
"1350","Semideciduous",47,80,28
"1351","Semideciduous",29,59,14
"1352","Semideciduous",14,39,5
"1353","Semideciduous",16,36,41
"1354","Semideciduous",29,67,18
"1355","Semideciduous",79,71,3
"1356","Semideciduous",14,36,44
"1357","Semideciduous",25,42,10
"1358","Semideciduous",3,62,4
"1359","Semideciduous",1,50,3
"1360","Semideciduous",18,72,7
"1361","Semideciduous",17,34,4
"1362","Semideciduous",30,47,5
"1363","Semideciduous",4,61,42
"1364","Semideciduous",22,42,7
"1365","Semideciduous",16,40,5
"1366","Semideciduous",10,57,6
"1367","Semideciduous",10,51,6
"1368","Semideciduous",41,40,8
"1369","Semideciduous",17,39,44
"1370","Semideciduous",4,31,44
"1371","Semideciduous",21,23,6
"1372","Semideciduous",6,45,5
"1373","Semideciduous",19,59,11
"1374","Semideciduous",32,45,5
"1375","Semideciduous",25,47,11
"1376","Semideciduous",24,56,17
"1377","Semideciduous",14,42,8
"1378","Semideciduous",4,31,5
"1379","Semideciduous",29,57,12
"1380","Semideciduous",7,26,5
"1381","Semideciduous",26,36,4
"1382","Semideciduous",21,44,3
"1383","Semideciduous",27,56,12
"1384","Semideciduous",14,36,7
"1385","Semideciduous",15,31,4
"1386","Semideciduous",2,28,42
"1387","Semideciduous",4,17,4
"1388","Semideciduous",27,35,11
"1389","Semideciduous",11,33,9
"1390","Semideciduous",13,33,6
"1391","Semideciduous",6,52,5
"1392","Semideciduous",27,19,5
"1393","Semideciduous",6,28,41
"1394","Semideciduous",9,61,6
"1395","Semideciduous",11,42,44
"1396","Semideciduous",21,36,4
"1397","Semideciduous",9,37,5
"1398","Semideciduous",25,32,6
"1399","Semideciduous",27,29,6
"1400","Semideciduous",5,31,8
"1401","Semideciduous",7,42,44
"1402","Semideciduous",11,64,5
"1403","Semideciduous",30,45,4
"1404","Semideciduous",19,21,5
"1405","Semideciduous",28,40,10
"1406","Semideciduous",28,40,7
"1407","Semideciduous",17,58,6
"1408","Semideciduous",22,54,10
"1409","Semideciduous",17,57,9
"1410","Semideciduous",17,29,6
"1411","Semideciduous",3,44,44
"1412","Semideciduous",16,45,5
"1413","Semideciduous",16,41,44
"1414","Semideciduous",7,29,43
"1415","Semideciduous",20,52,4
"1416","Semideciduous",15,33,44
"1417","Semideciduous",9,33,5
"1418","Semideciduous",18,62,4
"1419","Semideciduous",14,33,5
"1420","Semideciduous",19,41,5
"1421","Semideciduous",7,21,42
"1422","Semideciduous",9,55,4
"1423","Semideciduous",17,28,5
"1424","Semideciduous",11,34,43
"1425","Semideciduous",3,25,44
"1426","Semideciduous",22,34,8
"1427","Semideciduous",10,53,44
"1428","Semideciduous",17,65,6
"1429","Semideciduous",11,31,43
"1430","Semideciduous",32,66,9
"1431","Semideciduous",11,44,41
"1432","Semideciduous",67,20,3
"1433","Semideciduous",14,39,6
"1434","Semideciduous",2,41,4
"1435","Semideciduous",5,32,9
"1436","Semideciduous",9,35,7
"1437","Semideciduous",4,29,40
"1438","Semideciduous",2,24,41
"1439","Semideciduous",79,28,42
"1440","Semideciduous",15,30,40
"1441","Semideciduous",56,18,34
"1442","Semideciduous",10,20,41
"1443","Semideciduous",4,43,40
"1444","Semideciduous",6,46,10
"1445","Semideciduous",1,34,40
"1446","Semideciduous",74,64,40
"1447","Semideciduous",56,39,4
"1448","Semideciduous",1,40,40
"1449","Semideciduous",79,25,9
"1450","Semideciduous",3,37,7
"1451","Semideciduous",11,36,6
"1452","Semideciduous",5,44,4
"1453","Semideciduous",19,44,6
"1454","Semideciduous",10,33,44
"1455","Semideciduous",1,36,44
"1456","Semideciduous",17,15,6
"1457","Semideciduous",13,22,3
"1458","Semideciduous",18,36,3
"1459","Semideciduous",5,33,4
"1460","Semideciduous",25,33,3
"1461","Semideciduous",21,30,3
"1462","Semideciduous",17,33,4
"1463","Semideciduous",18,34,43
"1464","Semideciduous",10,40,44
"1465","Semideciduous",21,21,6
"1466","Semideciduous",4,32,24
"1467","Semideciduous",24,31,5
"1468","Semideciduous",21,41,12
"1469","Semideciduous",18,20,4
"1470","Semideciduous",7,36,42
"1471","Semideciduous",7,41,3
"1472","Semideciduous",4,32,3
"1473","Semideciduous",14,26,43
"1474","Semideciduous",26,34,4
"1475","Semideciduous",11,23,43
"1476","Semideciduous",9,26,44
"1477","Semideciduous",15,31,5
"1478","Semideciduous",21,42,8
"1479","Semideciduous",5,19,40
"1480","Semideciduous",10,22,4
"1481","Semideciduous",6,36,5
"1482","Semideciduous",9,18,43
"1483","Semideciduous",6,30,43
"1484","Semideciduous",10,23,43
"1485","Semideciduous",16,25,43
"1486","Semideciduous",15,21,4
"1487","Semideciduous",17,28,7
"1488","Semideciduous",10,25,41
"1489","Semideciduous",16,23,42
"1490","Semideciduous",15,15,42
"1491","Semideciduous",7,15,4
"1492","Semideciduous",15,33,5
"1493","Semideciduous",4,28,7
"1494","Semideciduous",7,29,5
"1495","Semideciduous",1,26,42
"1496","Semideciduous",15,48,7
"1497","Semideciduous",9,23,4
"1498","Semideciduous",9,32,44
"1499","Semideciduous",79,24,42
"1500","Semideciduous",10,29,3
"1501","Semideciduous",4,23,41
"1502","Semideciduous",5,28,40
"1503","Semideciduous",5,36,9
"1504","Semideciduous",6,28,40
"1505","Semideciduous",2,35,4
"1506","Semideciduous",29,26,5
"1507","Semideciduous",4,18,42
"1508","Semideciduous",5,43,43
"1509","Semideciduous",1,35,42
"1510","Semideciduous",5,10,43
"1511","Semideciduous",10,35,7
"1512","Semideciduous",5,34,43
"1513","Semideciduous",7,29,3
"1514","Semideciduous",13,29,44
"1515","Semideciduous",2,26,43
"1516","Semideciduous",2,19,34
"1517","Semideciduous",7,30,4
"1518","Semideciduous",1,20,34
"1519","Semideciduous",6,8,13
"1520","Semideciduous",3,15,41
"1521","Semideciduous",13,45,5
"1522","Semideciduous",10,22,42
"1523","Semideciduous",1,20,42
"1524","Semideciduous",10,41,8
"1525","Semideciduous",16,48,6
"1526","Semideciduous",4,48,6
"1527","Semideciduous",11,36,5
"1528","Semideciduous",3,32,3
"1529","Semideciduous",5,23,44
"1530","Semideciduous",15,43,9
"1531","Semideciduous",16,44,6
"1532","Semideciduous",4,29,41
"1533","Semideciduous",14,23,43
"1534","Semideciduous",15,21,42
"1535","Semideciduous",17,20,43
"1536","Semideciduous",19,35,43
"1537","Semideciduous",7,34,6
"1538","Semideciduous",17,35,11
"1539","Semideciduous",5,29,10
"1540","Semideciduous",6,24,11
"1541","Semideciduous",56,20,8
"1542","Semideciduous",4,41,10
"1543","Semideciduous",1,31,6
"1544","Semideciduous",7,32,10
"1545","Semideciduous",6,13,5
"1546","Semideciduous",7,34,5
"1547","Semideciduous",4,26,5
"1548","High.Elevation",45,2,2
"1549","High.Elevation",34,2,1
"1550","High.Elevation",45,70,1
"1551","High.Elevation",12,18,2
"1552","High.Elevation",34,13,2
"1553","High.Elevation",56,3,13
"1554","High.Elevation",56,2,2
"1555","High.Elevation",45,9,24
"1556","High.Elevation",45,10,13
"1557","High.Elevation",45,9,2
"1558","High.Elevation",67,27,13
"1559","High.Elevation",34,38,2
"1560","High.Elevation",3,70,13
"1561","High.Elevation",3,27,13
"1562","High.Elevation",67,11,13
"1563","High.Elevation",67,2,13
"1564","High.Elevation",67,87,2
"1565","High.Elevation",2,38,24
"1566","High.Elevation",79,16,24
"1567","High.Elevation",3,87,2
"1568","High.Elevation",67,6,2
"1569","High.Elevation",79,6,13
"1570","High.Elevation",2,11,13
"1571","High.Elevation",79,9,2
"1572","High.Elevation",5,38,24
"1573","High.Elevation",74,16,13
"1574","High.Elevation",67,27,2
"1575","High.Elevation",74,3,2
"1576","High.Elevation",1,49,34
"1577","High.Elevation",6,10,24
"1578","High.Elevation",4,38,13
"1579","High.Elevation",1,2,13
"1580","High.Elevation",1,16,13
"1581","High.Elevation",5,49,2
"1582","High.Elevation",56,60,13
"1583","High.Elevation",5,3,13
"1584","High.Elevation",74,2,13
"1585","High.Elevation",5,78,24
"1586","High.Elevation",79,8,2
"1587","High.Elevation",2,9,24
"1588","High.Elevation",5,38,24
"1589","High.Elevation",1,27,13
"1590","High.Elevation",74,16,2
"1591","High.Elevation",3,49,2
"1592","High.Elevation",4,27,13
"1593","High.Elevation",74,27,1
"1594","High.Elevation",1,16,13
"1595","High.Elevation",2,12,2
"1596","High.Elevation",79,10,13
"1597","High.Elevation",4,3,13
"1598","High.Elevation",1,27,24
"1599","High.Elevation",6,49,2
"1600","High.Elevation",79,27,40
"1601","High.Elevation",5,49,34
"1602","High.Elevation",4,70,13
"1603","High.Elevation",6,49,13
"1604","High.Elevation",2,13,13
"1605","High.Elevation",9,87,13
"1606","High.Elevation",4,9,2
"1607","High.Elevation",5,60,24
"1608","High.Elevation",9,10,13
"1609","High.Elevation",10,8,34
"1610","High.Elevation",6,78,24
"1611","High.Elevation",2,9,34
"1612","High.Elevation",7,6,13
"1613","High.Elevation",4,87,24
"1614","High.Elevation",1,10,2
"1615","High.Elevation",5,70,24
"1616","High.Elevation",79,6,34
"1617","High.Elevation",4,13,40
"1618","High.Elevation",79,3,2
"1619","High.Elevation",1,78,2
"1620","High.Elevation",9,9,34
"1621","Riverine",5,14,44
"1622","Riverine",4,14,44
"1623","Riverine",3,10,43
"1624","Riverine",14,12,42
"1625","Riverine",2,24,3
"1626","Riverine",18,15,42
"1627","Riverine",1,15,34
"1628","Riverine",7,25,5
"1629","Riverine",15,26,43
"1630","Riverine",7,27,34
"1631","Riverine",7,28,41
"1632","Riverine",6,26,43
"1633","Riverine",24,33,7
"1634","Riverine",19,34,9
"1635","Riverine",13,34,3
"1636","Riverine",20,33,8
"1637","Riverine",15,2,3
"1638","Riverine",9,10,41
"1639","Riverine",11,33,5
"1640","Riverine",6,25,44
"1641","Riverine",5,21,43
"1642","Riverine",13,35,3
"1643","Riverine",79,18,34
"1644","Riverine",9,70,13
"1645","Riverine",5,18,44
"1646","Riverine",11,28,5
"1647","Riverine",2,29,44
"1648","Riverine",67,14,34
"1649","Riverine",6,26,44
"1650","Riverine",17,15,41
"1651","Riverine",10,35,5
"1652","Riverine",7,22,6
"1653","Riverine",10,40,8
"1654","Riverine",10,41,9
"1655","Riverine",4,22,34
"1656","Riverine",18,57,7
"1657","Riverine",19,47,4
"1658","Riverine",7,30,4
"1659","Riverine",4,30,44
"1660","Riverine",7,12,4
"1661","Riverine",11,37,14
"1662","Riverine",6,25,5
"1663","Riverine",9,23,41
"1664","Riverine",14,22,9
"1665","Riverine",3,20,44
"1666","Riverine",9,34,8
"1667","Riverine",9,17,6
"1668","Riverine",6,17,43
"1669","Riverine",4,25,3
"1670","Riverine",13,14,5
"1671","Riverine",1,21,43
"1672","Riverine",2,35,5
"1673","Riverine",5,34,9
"1674","Riverine",3,26,7
"1675","Riverine",3,26,43
"1676","Riverine",4,22,6
"1677","Riverine",13,25,7
"1678","Riverine",6,18,41
"1679","Riverine",15,46,11
"1680","Riverine",6,39,43
"1681","Riverine",16,23,9
"1682","Riverine",7,31,42
"1683","Riverine",3,21,8
"1684","Riverine",6,26,4
"1685","Riverine",14,6,44
"1686","Riverine",6,14,6
"1687","Riverine",10,19,43
"1688","Riverine",9,22,4
"1689","Riverine",2,20,3
"1690","Riverine",19,15,10
"1691","Riverine",11,41,12
"1692","Riverine",5,28,4
"1693","Riverine",5,25,5
"1694","Riverine",74,18,41
"1695","Riverine",3,22,6
"1696","Riverine",3,29,9
"1697","Riverine",1,32,5
"1698","Riverine",2,24,7
"1699","Riverine",3,2,43
"1700","Riverine",2,31,42
"1701","Riverine",13,22,6
"1702","Riverine",10,45,8
"1703","Riverine",3,32,5
"1704","Riverine",4,20,8
"1705","Riverine",13,26,42
"1706","Riverine",74,43,44
"1707","Riverine",9,23,9
"1708","Riverine",22,43,8
"1709","Riverine",67,31,41
"1710","Riverine",3,25,8
"1711","Riverine",4,30,42
"1712","Riverine",3,30,14
"1713","Riverine",20,32,6
"1714","Riverine",6,34,44
"1715","Riverine",14,37,10
"1716","Riverine",79,37,43
"1717","Riverine",5,22,3
"1718","Riverine",7,25,6
"1719","Riverine",22,37,16
"1720","Riverine",10,32,11
"1721","Riverine",2,87,44
"1722","Riverine",1,17,3
"1723","Riverine",5,14,5
"1724","Riverine",4,24,8
"1725","Riverine",7,12,34
"1726","Riverine",2,22,42
"1727","Riverine",7,31,12
"1728","Riverine",2,30,10
"1729","Riverine",6,22,8
"1730","Riverine",7,30,14
"1731","Riverine",74,39,6
"1732","Riverine",6,30,7
"1733","Riverine",2,19,43
"1734","Riverine",67,78,4
"1735","Riverine",3,20,43
"1736","Riverine",10,26,10
"1737","Riverine",6,19,40
"1738","Riverine",6,18,3
"1739","Riverine",6,12,3
"1740","Riverine",3,12,6
"1741","Riverine",74,19,42
"1742","Riverine",79,23,41
"1743","Riverine",74,15,43
"1744","Riverine",4,15,42
"1745","Riverine",34,30,43
"1746","Riverine",34,25,4
"1747","Riverine",56,25,41
"1748","Riverine",6,18,7
"1749","Riverine",74,34,4
"1750","Riverine",79,12,43
"1751","Riverine",79,29,41
"1752","Riverine",3,29,6
"1753","Riverine",79,25,42
